"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"74","GORB","GORB_10","Nat_forest",15471796.6019422,0.394992928622936,39169806.547883,"catchment","1990_1995"
"75","GORB","GORB_10","Plant_forest",9424251.36396285,0.240599895545621,39169806.547883,"catchment","1990_1995"
"76","ARTI","ARTI_10","Water",110144.670871143,0.00233906844988878,47089118.2668811,"catchment","1995_2000"
"77","ARTI","ARTI_10","Urban",4589.54953205585,9.74651830608557e-05,47089118.2668811,"catchment","1995_2000"
"78","ARTI","ARTI_10","Grassland",1426305.2086897,0.0302894864288179,47089118.2668811,"catchment","1995_2000"
"79","ARTI","ARTI_10","Agriculture",1966.71699601652,4.17658488500466e-05,47089118.2668811,"catchment","1995_2000"
"80","ARTI","ARTI_10","Shrubland",3764415.72875592,0.0799423702822553,47089118.2668811,"catchment","1995_2000"
"81","ARTI","ARTI_10","Nat_forest",32490367.7386002,0.689976133221663,47089118.2668811,"catchment","1995_2000"
"82","ARTI","ARTI_10","Plant_forest",9291328.65343607,0.197313710585464,47089118.2668811,"catchment","1995_2000"
"83","AIZK","AIZK_10","Water",2631.76332013101,4.90938148197023e-05,53606820.529148,"catchment","1995_2000"
"84","AIZK","AIZK_10","Urban",100406.903754119,0.00187302478981241,53606820.529148,"catchment","1995_2000"
"85","AIZK","AIZK_10","Bare_soil",1224379.48996218,0.0228399945730122,53606820.529148,"catchment","1995_2000"
"86","AIZK","AIZK_10","Grassland",11619679.4524113,0.21675748230756,53606820.529148,"catchment","1995_2000"
"87","AIZK","AIZK_10","Agriculture",221315.325368481,0.00412849191919792,53606820.529148,"catchment","1995_2000"
"88","AIZK","AIZK_10","Shrubland",6280439.9315162,0.117157478647727,53606820.529148,"catchment","1995_2000"
"89","AIZK","AIZK_10","Nat_forest",19203138.9197822,0.358221933892548,53606820.529148,"catchment","1995_2000"
"90","AIZK","AIZK_10","Plant_forest",14954828.7430334,0.278972500055323,53606820.529148,"catchment","1995_2000"
"91","ARAL","ARAL_01","Water",150056.584501567,0.00215851399558947,69518467.2456052,"catchment","1995_2000"
"92","ARAL","ARAL_01","Urban",172121.590021271,0.00247591175181084,69518467.2456052,"catchment","1995_2000"
"93","ARAL","ARAL_01","Bare_soil",1248132.94228156,0.0179539767163159,69518467.2456052,"catchment","1995_2000"
"94","ARAL","ARAL_01","Grassland",12457145.3531997,0.179191887375612,69518467.2456052,"catchment","1995_2000"
"95","ARAL","ARAL_01","Agriculture",517279.502581933,0.00744089337807767,69518467.2456052,"catchment","1995_2000"
"96","ARAL","ARAL_01","Shrubland",6198105.87844196,0.0891576889424844,69518467.2456052,"catchment","1995_2000"
"97","ARAL","ARAL_01","Nat_forest",30383405.1971733,0.437055165353838,69518467.2456052,"catchment","1995_2000"
"98","ARAL","ARAL_01","Plant_forest",18392220.1974039,0.264565962486272,69518467.2456052,"catchment","1995_2000"
"99","IZKI","IZKI_10","Urban",105740.952828765,0.00242529235941502,43599260.2781586,"catchment","1995_2000"
"100","IZKI","IZKI_10","Bare_soil",142516.378922494,0.00326877974564832,43599260.2781586,"catchment","1995_2000"
"101","IZKI","IZKI_10","Grassland",2066878.11985362,0.0474062657638491,43599260.2781586,"catchment","1995_2000"
"102","IZKI","IZKI_10","Agriculture",1448850.37866203,0.0332310770737511,43599260.2781586,"catchment","1995_2000"
"103","IZKI","IZKI_10","Shrubland",4361053.28862584,0.100025855044393,43599260.2781586,"catchment","1995_2000"
"104","IZKI","IZKI_10","Nat_forest",32374995.4462982,0.742558365434393,43599260.2781586,"catchment","1995_2000"
"105","IZKI","IZKI_10","Plant_forest",3099225.71296775,0.0710843645785507,43599260.2781586,"catchment","1995_2000"
"106","GORB","GORB_10","Urban",12501.8193717297,0.00031915908906895,39171121.236747,"catchment","1995_2000"
"107","GORB","GORB_10","Bare_soil",753910.981024108,0.0192466020175305,39171121.236747,"catchment","1995_2000"
"108","GORB","GORB_10","Grassland",4459334.31052731,0.113842396381137,39171121.236747,"catchment","1995_2000"
"109","GORB","GORB_10","Agriculture",63792.9701245586,0.00162857146056655,39171121.236747,"catchment","1995_2000"
"110","GORB","GORB_10","Shrubland",10139539.1662028,0.258852410808469,39171121.236747,"catchment","1995_2000"
"111","GORB","GORB_10","Nat_forest",14474761.7673427,0.369526357947696,39171121.236747,"catchment","1995_2000"
"112","GORB","GORB_10","Plant_forest",9267280.22215375,0.236584502295533,39171121.236747,"catchment","1995_2000"
"113","ARTI","ARTI_10","Water",106210.879305179,0.00225552919229584,47089117.564056,"catchment","2000_2005"
"114","ARTI","ARTI_10","Urban",3277.87587310868,6.96100509560353e-05,47089117.564056,"catchment","2000_2005"
"115","ARTI","ARTI_10","Bare_soil",4587.9285132543,9.7430760026736e-05,47089117.564056,"catchment","2000_2005"
"116","ARTI","ARTI_10","Grassland",966688.408624489,0.0205289132315867,47089117.564056,"catchment","2000_2005"
"117","ARTI","ARTI_10","Shrubland",5872343.80800024,0.124707025991982,47089117.564056,"catchment","2000_2005"
"118","ARTI","ARTI_10","Nat_forest",32026464.0049244,0.680124531137335,47089117.564056,"catchment","2000_2005"
"119","ARTI","ARTI_10","Plant_forest",8109544.65881532,0.172216959635818,47089117.564056,"catchment","2000_2005"
"120","AIZK","AIZK_10","Water",2631.73772431871,4.90933379546819e-05,53606819.865214,"catchment","2000_2005"
"121","AIZK","AIZK_10","Urban",80607.1644921565,0.00150367368731872,53606819.865214,"catchment","2000_2005"
"122","AIZK","AIZK_10","Bare_soil",1124598.46188632,0.0209786453424013,53606819.865214,"catchment","2000_2005"
"123","AIZK","AIZK_10","Grassland",10143900.2811813,0.189227794274806,53606819.865214,"catchment","2000_2005"
"124","AIZK","AIZK_10","Agriculture",261598.645787711,0.00487995084292372,53606819.865214,"catchment","2000_2005"
"125","AIZK","AIZK_10","Shrubland",7718234.87310421,0.143978599971244,53606819.865214,"catchment","2000_2005"
"126","AIZK","AIZK_10","Nat_forest",21006105.2347525,0.391855090221152,53606819.865214,"catchment","2000_2005"
"127","AIZK","AIZK_10","Plant_forest",13269143.4662855,0.247527152322199,53606819.865214,"catchment","2000_2005"
